T_observed,bootstrap_completed_replicates,bootstrap_failed_replicates,bootstrap_replicates,exact_eligible_holdout_scan_ids,hypothesis_id,raw_p_value,seed_payload_canonical_json,seed_sha256,test_status
,0,0,4096,"[""SCAN-02R-26cdfd757f62fb5b"",""SCAN-02R-41d12941c2dac178"",""SCAN-02R-42d0a4d8bd2d58cc"",""SCAN-02R-4650765ebe11f415"",""SCAN-02R-48f6ae0dc1c99d07"",""SCAN-02R-54bfea84553b4c65"",""SCAN-02R-58a76874c3967085"",""SCAN-02R-5e02dde1da14be55"",""SCAN-02R-79960ffd3b8a968b"",""SCAN-02R-87edbdf74d1e5fb1"",""SCAN-02R-a1d82bdc331e2df4"",""SCAN-02R-b14e49e20117cb08"",""SCAN-02R-c74434b3ed5fc9b8""]",C002-CX-01-K0-K1,1.0,"{""bootstrap_replicates"":4096,""c001_execution_baseline"":""a8f5605177470d55de982227d9a9f36a7c801562"",""c002_execution_spec_freeze_main"":""122691ae7e69e40458509feec0dd2135aeb4108f"",""c002_execution_spec_version"":""1.0"",""future_C002_spec_sha256"":""38fd01e53d539bc877a36f7cd8152faf372905ddf9ce68b1c3779874654f555b"",""hypothesis_id"":""C002-CX-01-K0-K1"",""job_id"":""W02-02R-C-002"",""rng"":""numpy.random.PCG64""}",abde54d98da2396b269daf9d0f26effabc79ba6e90ff96e4edc9ec0c3e860712,numerical_failure
,0,0,4096,"[""SCAN-02R-42d0a4d8bd2d58cc"",""SCAN-02R-48f6ae0dc1c99d07"",""SCAN-02R-54bfea84553b4c65"",""SCAN-02R-58a76874c3967085"",""SCAN-02R-5e02dde1da14be55"",""SCAN-02R-5f553db9674e6d45"",""SCAN-02R-79960ffd3b8a968b"",""SCAN-02R-87edbdf74d1e5fb1"",""SCAN-02R-a1d82bdc331e2df4"",""SCAN-02R-b14e49e20117cb08"",""SCAN-02R-baae22000a534323"",""SCAN-02R-c74434b3ed5fc9b8""]",C002-CX-02-K0-K1,1.0,"{""bootstrap_replicates"":4096,""c001_execution_baseline"":""a8f5605177470d55de982227d9a9f36a7c801562"",""c002_execution_spec_freeze_main"":""122691ae7e69e40458509feec0dd2135aeb4108f"",""c002_execution_spec_version"":""1.0"",""future_C002_spec_sha256"":""38fd01e53d539bc877a36f7cd8152faf372905ddf9ce68b1c3779874654f555b"",""hypothesis_id"":""C002-CX-02-K0-K1"",""job_id"":""W02-02R-C-002"",""rng"":""numpy.random.PCG64""}",afeed89848a6527dbbff1efa9bb00127aa22e59e778c2bcf441ece63f066a0da,numerical_failure
,0,0,4096,"[""SCAN-02R-42d0a4d8bd2d58cc"",""SCAN-02R-5f553db9674e6d45"",""SCAN-02R-a1d82bdc331e2df4"",""SCAN-02R-a88a59b9d2315a05"",""SCAN-02R-baae22000a534323""]",C002-CX-03-K0-K1,1.0,"{""bootstrap_replicates"":4096,""c001_execution_baseline"":""a8f5605177470d55de982227d9a9f36a7c801562"",""c002_execution_spec_freeze_main"":""122691ae7e69e40458509feec0dd2135aeb4108f"",""c002_execution_spec_version"":""1.0"",""future_C002_spec_sha256"":""38fd01e53d539bc877a36f7cd8152faf372905ddf9ce68b1c3779874654f555b"",""hypothesis_id"":""C002-CX-03-K0-K1"",""job_id"":""W02-02R-C-002"",""rng"":""numpy.random.PCG64""}",6fe2650a2d8dcca2081d63497512d3fb7df1a47a732849b755402913202269b1,numerical_failure
