scan_record_id,raw_scan_id,count_control_mode,acquisition_state_id,lattice_state_id,UB_state_id,scan_variable_raw,pre_detector_status,split_role,discovery_runtime_status,pre_detector_reasons,source_point_count,usable_geometry_points,energy_order,admissible_windows,discovery_qc_reasons
SCAN-02R-26c5588a4a75efc2,104201,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,56,56,increasing,188,
SCAN-02R-26cdfd757f62fb5b,104169,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,holdout,not_evaluated,,20,20,increasing,44,
SCAN-02R-291dabeaaa79ad80,104054,time_controlled,ACQSTATE-02R-28209d72681aed75,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,s2,not_primary_energy_discovery,not_applicable,not_evaluated,,41,0,not_evaluated,0,
SCAN-02R-2a0e91f43e0fe127,104152,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,31,31,decreasing_reversed_with_provenance,88,
SCAN-02R-2af7f44831b57311,104076,time_controlled,ACQSTATE-02R-c3afc250a187b5a4,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,51,0,not_evaluated,0,
SCAN-02R-2c07251df8824bce,104049,time_controlled,ACQSTATE-02R-28209d72681aed75,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,s2,not_primary_energy_discovery,not_applicable,not_evaluated,,801,0,not_evaluated,0,
SCAN-02R-2c38778fb264b3af,104055,time_controlled,ACQSTATE-02R-28209d72681aed75,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,s2,not_primary_energy_discovery,not_applicable,not_evaluated,,41,0,not_evaluated,0,
SCAN-02R-2f690557cfd20bec,104240,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,26,26,decreasing_reversed_with_provenance,68,
SCAN-02R-306a96179bd778b6,104206,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,56,56,increasing,188,
SCAN-02R-31bc005deb88d4e2,104089,time_controlled,ACQSTATE-02R-be28a48a7631be59,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,pa_right,not_primary_energy_discovery,not_applicable,not_evaluated,,14,0,not_evaluated,0,
SCAN-02R-325ad9a57ee92673,104134,time_controlled,ACQSTATE-02R-9ab3f10f56634512,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-32cf60066cdcd074,104075,time_controlled,ACQSTATE-02R-c3afc250a187b5a4,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,51,0,not_evaluated,0,
SCAN-02R-33c7ae4485edcd17,104114,time_controlled,ACQSTATE-02R-76dbf689e6cbf1b2,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,51,0,not_evaluated,0,
SCAN-02R-35c1a2ccd5e9e62e,104069,time_controlled,ACQSTATE-02R-92658811a43cf789,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,sgu,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-3796d374ac11519e,104187,monitor_controlled,ACQSTATE-02R-72bc31d155544226,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-379ac295ed92a194,104117,time_controlled,ACQSTATE-02R-cbc3f2d268d2ba2a,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,sgu,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-391364dde623200d,104124,time_controlled,ACQSTATE-02R-763c392f103059d4,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,sgl,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-3d7ecf2f3c542662,104043,time_controlled,ACQSTATE-02R-7948f6139a5d7c87,LAT-02R-ae4c74e47a033f66,UB-02R-55ac4333b2057246,sgu,not_primary_energy_discovery,not_applicable,not_evaluated,,11,0,not_evaluated,0,
SCAN-02R-3f903a520f921d83,104229,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,26,26,decreasing_reversed_with_provenance,68,
SCAN-02R-403532c05321d7d2,104155,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,diagnostic_only_insufficient_geometry,not_applicable,not_evaluated,,2,2,insufficient,0,
SCAN-02R-41d12941c2dac178,104165,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,holdout,not_evaluated,,20,20,increasing,44,
SCAN-02R-42c582e4eb747d10,104181,monitor_controlled,ACQSTATE-02R-72bc31d155544226,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-42d0a4d8bd2d58cc,104199,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,holdout,not_evaluated,,51,51,increasing,168,
SCAN-02R-42f2046fce901aec,104080,time_controlled,ACQSTATE-02R-92658811a43cf789,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,sgu,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-432159a75d80f2b3,104147,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,31,31,decreasing_reversed_with_provenance,88,
SCAN-02R-43979cdff2eef525,104094,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,en,eligible_for_split,discovery,discovery_usable,,25,25,decreasing_reversed_with_provenance,64,
SCAN-02R-43d400370d39ebe7,104112,time_controlled,ACQSTATE-02R-76dbf689e6cbf1b2,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-45d1daf515e218b6,104222,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,26,26,decreasing_reversed_with_provenance,68,
SCAN-02R-4650765ebe11f415,104167,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,holdout,not_evaluated,,20,20,increasing,44,
SCAN-02R-46abc72aaf86494c,104157,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,diagnostic_only_insufficient_geometry,not_applicable,not_evaluated,,5,5,insufficient,0,
