scan_record_id,point_index,discovery_runtime_status,high_rate_status,detector_counts_per_second,qc_reasons
SCAN-02R-074afad5a6b92ea4,28,discovery_usable,normal_rate_diagnostic,0.2914907134048358,
SCAN-02R-074afad5a6b92ea4,29,discovery_usable,normal_rate_diagnostic,0.29435458883311644,
SCAN-02R-074afad5a6b92ea4,30,discovery_usable,normal_rate_diagnostic,0.32619678417706915,
SCAN-02R-074afad5a6b92ea4,31,discovery_usable,normal_rate_diagnostic,0.2563055161752809,
SCAN-02R-074afad5a6b92ea4,32,discovery_usable,normal_rate_diagnostic,0.323027953736094,
SCAN-02R-074afad5a6b92ea4,33,discovery_usable,normal_rate_diagnostic,0.3045391561219984,
SCAN-02R-074afad5a6b92ea4,34,discovery_usable,normal_rate_diagnostic,0.33757999178066106,
SCAN-02R-074afad5a6b92ea4,35,discovery_usable,normal_rate_diagnostic,0.2965684856200452,
SCAN-02R-0e6d00a831c04e8d,0,discovery_usable,normal_rate_diagnostic,0.14313318542904174,
SCAN-02R-0e6d00a831c04e8d,1,discovery_usable,normal_rate_diagnostic,0.1322171004789865,
SCAN-02R-0e6d00a831c04e8d,2,discovery_usable,normal_rate_diagnostic,0.18334841521910136,
SCAN-02R-0e6d00a831c04e8d,3,discovery_usable,normal_rate_diagnostic,0.20034917999942758,
SCAN-02R-0e6d00a831c04e8d,4,discovery_usable,normal_rate_diagnostic,0.22173686486246771,
SCAN-02R-0e6d00a831c04e8d,5,discovery_usable,normal_rate_diagnostic,0.207094625894458,
SCAN-02R-0e6d00a831c04e8d,6,discovery_usable,normal_rate_diagnostic,0.23950761689921185,
SCAN-02R-0e6d00a831c04e8d,7,discovery_usable,normal_rate_diagnostic,0.29756695256432697,
SCAN-02R-0e6d00a831c04e8d,8,discovery_usable,normal_rate_diagnostic,0.3517851606286818,
SCAN-02R-0e6d00a831c04e8d,9,discovery_usable,normal_rate_diagnostic,0.2802757436252176,
SCAN-02R-0e6d00a831c04e8d,10,discovery_usable,normal_rate_diagnostic,0.19133263178035015,
SCAN-02R-0e6d00a831c04e8d,11,discovery_usable,normal_rate_diagnostic,0.23931889841511061,
SCAN-02R-0e6d00a831c04e8d,12,discovery_usable,normal_rate_diagnostic,0.2174845850452897,
SCAN-02R-0e6d00a831c04e8d,13,discovery_usable,normal_rate_diagnostic,0.24292138386098117,
SCAN-02R-0e6d00a831c04e8d,14,discovery_usable,normal_rate_diagnostic,0.24309812708747305,
SCAN-02R-0e6d00a831c04e8d,15,discovery_usable,normal_rate_diagnostic,0.19864622597001436,
SCAN-02R-0e6d00a831c04e8d,16,discovery_usable,normal_rate_diagnostic,0.1806607428959917,
SCAN-02R-0e6d00a831c04e8d,17,discovery_usable,normal_rate_diagnostic,0.2893430390156245,
SCAN-02R-0e6d00a831c04e8d,18,discovery_usable,normal_rate_diagnostic,0.27676095686184404,
SCAN-02R-0e6d00a831c04e8d,19,discovery_usable,normal_rate_diagnostic,0.26150121065375304,
SCAN-02R-0e6d00a831c04e8d,20,discovery_usable,normal_rate_diagnostic,0.2365976367020968,
SCAN-02R-0e6d00a831c04e8d,21,discovery_usable,normal_rate_diagnostic,0.25802479754106894,
SCAN-02R-0e6d00a831c04e8d,22,discovery_usable,normal_rate_diagnostic,0.27046480685759156,
SCAN-02R-0e6d00a831c04e8d,23,discovery_usable,normal_rate_diagnostic,0.21028017730824553,
SCAN-02R-0e6d00a831c04e8d,24,discovery_usable,normal_rate_diagnostic,0.34534319398368074,
SCAN-02R-0e6d00a831c04e8d,25,discovery_usable,normal_rate_diagnostic,11.984164468353894,
SCAN-02R-1e5b02c69224108d,0,discovery_usable,normal_rate_diagnostic,0.182476994864576,
SCAN-02R-1e5b02c69224108d,1,discovery_usable,normal_rate_diagnostic,0.20425380755739087,
SCAN-02R-1e5b02c69224108d,2,discovery_usable,normal_rate_diagnostic,0.18744811703903383,
SCAN-02R-1e5b02c69224108d,3,discovery_usable,normal_rate_diagnostic,0.3258542035192254,
SCAN-02R-1e5b02c69224108d,4,discovery_usable,normal_rate_diagnostic,0.33585222502099077,
SCAN-02R-1e5b02c69224108d,5,discovery_usable,normal_rate_diagnostic,0.5060956971844042,
SCAN-02R-1e5b02c69224108d,6,discovery_usable,normal_rate_diagnostic,0.5167424555601488,
SCAN-02R-1e5b02c69224108d,7,discovery_usable,normal_rate_diagnostic,0.4199938616281762,
SCAN-02R-1e5b02c69224108d,8,discovery_usable,normal_rate_diagnostic,0.4886082898709854,
SCAN-02R-1e5b02c69224108d,9,discovery_usable,normal_rate_diagnostic,0.25559613538643294,
SCAN-02R-1e5b02c69224108d,10,discovery_usable,normal_rate_diagnostic,0.22410444416351577,
SCAN-02R-1e5b02c69224108d,11,discovery_usable,normal_rate_diagnostic,0.19491335215526914,
SCAN-02R-1e5b02c69224108d,12,discovery_usable,normal_rate_diagnostic,0.19014456929284046,
SCAN-02R-1e5b02c69224108d,13,discovery_usable,normal_rate_diagnostic,0.18986954125068903,
SCAN-02R-1e5b02c69224108d,14,discovery_usable,normal_rate_diagnostic,0.17381372135177411,
SCAN-02R-1e5b02c69224108d,15,discovery_usable,normal_rate_diagnostic,0.17221913928701277,
SCAN-02R-1e5b02c69224108d,16,discovery_usable,normal_rate_diagnostic,0.1957176967941441,
SCAN-02R-1e5b02c69224108d,17,discovery_usable,normal_rate_diagnostic,0.23151823040694292,
SCAN-02R-1e5b02c69224108d,18,discovery_usable,normal_rate_diagnostic,0.22819404547773092,
