scan_record_id,count_control_mode,acquisition_state_id,pre_detector_status,split_role,assignment_sha256,stratum_size,stratum_holdout_count,holdout_status,holdout_backfill
SCAN-02R-33c7ae4485edcd17,time_controlled,ACQSTATE-02R-76dbf689e6cbf1b2,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-35c1a2ccd5e9e62e,time_controlled,ACQSTATE-02R-92658811a43cf789,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-3796d374ac11519e,monitor_controlled,ACQSTATE-02R-72bc31d155544226,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-379ac295ed92a194,time_controlled,ACQSTATE-02R-cbc3f2d268d2ba2a,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-391364dde623200d,time_controlled,ACQSTATE-02R-763c392f103059d4,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-3d7ecf2f3c542662,time_controlled,ACQSTATE-02R-7948f6139a5d7c87,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-3f903a520f921d83,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,7473b69f9fcd779352c1858a2fa0d832a0bf3562b561c8bdc2018ac2fa161106,65,16,available,false
SCAN-02R-403532c05321d7d2,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,diagnostic_only_insufficient_geometry,not_applicable,,0,0,not_applicable,false
SCAN-02R-41d12941c2dac178,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,2baf3a05c2b2ee4239a49005eace13a887d5e5e599a4b32192e1964c42630291,65,16,available,false
SCAN-02R-42c582e4eb747d10,monitor_controlled,ACQSTATE-02R-72bc31d155544226,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-42d0a4d8bd2d58cc,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,1fde1a3062ec202e4035af9f948896f297ced9b1408636f6a9855f4f91f1f602,65,16,available,false
SCAN-02R-42f2046fce901aec,time_controlled,ACQSTATE-02R-92658811a43cf789,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-432159a75d80f2b3,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,d8948a63a1fda7edd2b108d27d2ec7d173d8a4f9a1faf79afd6d48affe28b623,65,16,available,false
SCAN-02R-43979cdff2eef525,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,eligible_for_split,discovery,8934f3bd1a52787fc0eb2d4a09e488c6623d0832fa2e078c466e106a068cc585,9,2,available,false
SCAN-02R-43d400370d39ebe7,time_controlled,ACQSTATE-02R-76dbf689e6cbf1b2,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-45d1daf515e218b6,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,66903604fe1a840a012a9599265ba2b785d0fcd175fd1a7df097bae45bcd9a1d,65,16,available,false
SCAN-02R-4650765ebe11f415,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,39d4672007b9eefc40e54d7584dbb3d921ad9724589123210e0ae38204ea8556,65,16,available,false
SCAN-02R-46abc72aaf86494c,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,diagnostic_only_insufficient_geometry,not_applicable,,0,0,not_applicable,false
SCAN-02R-48f6ae0dc1c99d07,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,1fa2762a569f77dfee57e92401a03c79f13937f285e0e509a81dde873d11b2aa,65,16,available,false
SCAN-02R-4979cab4b4eed413,monitor_controlled,ACQSTATE-02R-1f2cf8c8f4f60684,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-49c7081b477e8f3d,time_controlled,ACQSTATE-02R-76dbf689e6cbf1b2,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-4a9d7177d38df4e7,time_controlled,ACQSTATE-02R-08c77f1cdd894d24,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-4ad1398a663b7933,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,8306222ccee41e90ac3a7253cc78799191fe482d5942f30e0827c83e43685b77,65,16,available,false
