file_record_id,dataset_id,source_file,source_checksum,file_size_bytes,file_extension,filesystem_mtime,filesystem_mtime_trust,raw_format_id,raw_format_fingerprint,file_role,parse_status,parse_message,duplicate_status,duplicate_group_id,raw_scan_id,file_scan_cardinality_status,quality_flag,quality_reasons
FILE-02R-f76a47fba5e4763c,EXP-TAIPAN-001,TAIPAN_exp1296_scan104132.dat,842baee372c9b43c436faa4d801c21812dc03394974a9909b422e2fc57222a06,17133,.dat,2023-08-30T20:49:08Z,A001_snapshot_filesystem_metadata_only,FMT-02R-42b66acce1bb,42b66acce1bb9e9094963947aadec8ab8c696386b7568b34f522a890d0edecea,scan,parsed,complete_one_declared_numeric_block,unique_content,,104132,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-94e685e09ee9d021,EXP-TAIPAN-001,TAIPAN_exp1296_scan104133.dat,22b2eddd1858d21bc64f9e5276c02484dae206709f2455b3eda6f4006c071f7b,24159,.dat,2023-08-30T20:55:46Z,A001_snapshot_filesystem_metadata_only,FMT-02R-00e53630cd36,00e53630cd366c7acd8f45aed10b51dd88f27feb9111947b056840151a37b83d,scan,parsed,complete_one_declared_numeric_block,unique_content,,104133,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-9b86ca5f436ba496,EXP-TAIPAN-001,TAIPAN_exp1296_scan104134.dat,05c76e4b919ac06a46cab02a094c95e5838463a6c9c3c0eb55122ec60648eaf8,16869,.dat,2023-08-30T20:57:30Z,A001_snapshot_filesystem_metadata_only,FMT-02R-00e53630cd36,00e53630cd366c7acd8f45aed10b51dd88f27feb9111947b056840151a37b83d,scan,parsed,complete_one_declared_numeric_block,unique_content,,104134,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-794180199909af6d,EXP-TAIPAN-001,TAIPAN_exp1296_scan104135.dat,555cb6b923461edfb3291c2781c9a0901a6563e4e1518ab891c3f4d30931aa56,16869,.dat,2023-08-30T21:00:04Z,A001_snapshot_filesystem_metadata_only,FMT-02R-00e53630cd36,00e53630cd366c7acd8f45aed10b51dd88f27feb9111947b056840151a37b83d,scan,parsed,complete_one_declared_numeric_block,unique_content,,104135,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-dd4dd855dd7e599d,EXP-TAIPAN-001,TAIPAN_exp1296_scan104136.dat,d10251fc9edf1e0cdd0e0d4596f1a34957570a6668bf18ab361fe3e2a232c4a3,16869,.dat,2023-08-30T21:01:56Z,A001_snapshot_filesystem_metadata_only,FMT-02R-00e53630cd36,00e53630cd366c7acd8f45aed10b51dd88f27feb9111947b056840151a37b83d,scan,parsed,complete_one_declared_numeric_block,unique_content,,104136,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-bd0a749a22eed9a0,EXP-TAIPAN-001,TAIPAN_exp1296_scan104137.dat,ce0f5806ad584b804358d907268b1e37f6994c316d33db67412702b9046412ab,16869,.dat,2023-08-30T21:07:48Z,A001_snapshot_filesystem_metadata_only,FMT-02R-de66a609ccd2,de66a609ccd219332c3d8bdb4ffa72d187f63fd880e1e2c172330df2f03ec23d,scan,parsed,complete_one_declared_numeric_block,unique_content,,104137,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-da1d0700d24ca297,EXP-TAIPAN-001,TAIPAN_exp1296_scan104138.dat,306f03a6b5934ad0b98870795ca36f73d7dbf823223af6470e2de3025b0aed46,24159,.dat,2023-08-30T22:25:08Z,A001_snapshot_filesystem_metadata_only,FMT-02R-00e53630cd36,00e53630cd366c7acd8f45aed10b51dd88f27feb9111947b056840151a37b83d,scan,parsed,complete_one_declared_numeric_block,unique_content,,104138,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-972e9ad8a53ed5c3,EXP-TAIPAN-001,TAIPAN_exp1296_scan104139.dat,f9687a9d1cd9c8a8ebc30f79181d0c61882445dd458681b3a837d34f6ff120a6,16869,.dat,2023-08-30T22:30:44Z,A001_snapshot_filesystem_metadata_only,FMT-02R-de66a609ccd2,de66a609ccd219332c3d8bdb4ffa72d187f63fd880e1e2c172330df2f03ec23d,scan,parsed,complete_one_declared_numeric_block,unique_content,,104139,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-a8f25df3c5847d30,EXP-TAIPAN-001,TAIPAN_exp1296_scan104140.dat,ecfb116d3ccba5200c44a027ea37ff51032f1afa703933829d3390b30046bc6c,3019,.dat,2023-08-30T22:32:20Z,A001_snapshot_filesystem_metadata_only,FMT-02R-a20370d76087,a20370d76087483996ad128dc77f5702769dc90871f1c50ee14cda6374893fd5,scan,parsed,complete_one_declared_numeric_block,unique_content,,104140,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved;scan_range_unresolved_mapping
FILE-02R-27510edb47af6e55,EXP-TAIPAN-001,TAIPAN_exp1296_scan104141.dat,e7bdf6ddb4f04931de5a2c9c1708bc3f88c58e709b001ecf3dbc2be5b9512480,16870,.dat,2023-08-30T22:33:56Z,A001_snapshot_filesystem_metadata_only,FMT-02R-a20370d76087,a20370d76087483996ad128dc77f5702769dc90871f1c50ee14cda6374893fd5,scan,parsed,complete_one_declared_numeric_block,unique_content,,104141,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved;scan_range_unresolved_mapping
