file_record_id,scan_record_id,relationship_role,mapping_status,mapping_evidence
FILE-02R-2418706b7fadc72a,SCAN-02R-7044f49c95edc115,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-242f8e9d18702c73,SCAN-02R-d24a90ed870ef8e6,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-2467de187102a2bb,SCAN-02R-41d12941c2dac178,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-27510edb47af6e55,SCAN-02R-920194e62af87181,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-2794450f4a6036d5,SCAN-02R-ccdf6f79b6e3b5fc,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-29b1ecf8945b5a04,SCAN-02R-cb5dd7445a99bc3a,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-2a03555a7fbdb515,SCAN-02R-74e2c66cfb23844c,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-2bd766e8241454cd,SCAN-02R-1dda1db143c363ba,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-2c162a6d29875ba6,SCAN-02R-45d1daf515e218b6,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-2f47aa7305f8661a,SCAN-02R-4a9d7177d38df4e7,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-301f7e82dbae27e8,SCAN-02R-31bc005deb88d4e2,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-31885f2e20fbb807,SCAN-02R-5215f80c458dc1c4,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-36fd407b4cac26bf,SCAN-02R-d453265e40ec7542,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-373e6a33efd3f8e4,SCAN-02R-d7af0511d4c5b96e,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-397732717d35f929,SCAN-02R-118b7f0b82f35923,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
