dataset_id,file_record_id,scan_record_id,raw_format_id,diagnostic_type,severity,field_or_section,source_line_number,message
EXP-TAIPAN-001,FILE-02R-4228d41a4d290624,SCAN-02R-f71173d3ec0c732c,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-434a17bab71381e2,SCAN-02R-1c3a8acc71d9e5bd,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-45874942b83e2b22,SCAN-02R-e1e2bf2dafefa081,FMT-02R-42b66acce1bb,duplicate_declared_label,info,ql,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-45c03790c8247819,SCAN-02R-a37edad191409e00,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-46dfb210c943bc7c,SCAN-02R-94943265720dfbae,FMT-02R-42b66acce1bb,duplicate_declared_label,info,ql,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-47923655f1056cab,SCAN-02R-432159a75d80f2b3,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-4a07ecce43a588a4,SCAN-02R-78bcb97650a5c779,FMT-02R-de66a609ccd2,duplicate_declared_label,info,s2,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-4b7dc4f88327fb96,SCAN-02R-6f7239d1961a1e4d,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-4bf9457dca51fccc,SCAN-02R-bc0f4f0c3548d67f,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-4dae638e87018000,SCAN-02R-eb5b106ace121b92,FMT-02R-a20370d76087,duplicate_declared_label,info,sgl,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-4ec5d8f394c2876a,SCAN-02R-42f2046fce901aec,FMT-02R-365d8346d6ba,duplicate_declared_label,info,sgu,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-4f42c03f9a4a989b,SCAN-02R-4eb3495e2e32dd73,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-50ed3a6aa1d85618,SCAN-02R-5b80daccf8c23dd0,FMT-02R-fb75879b9023,duplicate_declared_label,info,qk,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-51cd8477e36147f8,SCAN-02R-c8f01d8d90de0c04,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-5220bed93a198b55,SCAN-02R-059bd02c78268a2b,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-52eba187558a3c67,SCAN-02R-8641a638f4880175,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-548c132cbb5f17d6,SCAN-02R-20b2aca534749eb8,FMT-02R-42b66acce1bb,duplicate_declared_label,info,ql,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-56a3d2571deda3b4,SCAN-02R-251028aabdf3c3e7,FMT-02R-a20370d76087,duplicate_declared_label,info,sgl,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-575e049a16f2e04e,SCAN-02R-42d0a4d8bd2d58cc,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-57f5d07be2ba1eae,SCAN-02R-7fc5c872db142199,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
