centroid,complex_id,component_id,final_K,fit_status,fitted_background_parameters,integrated_area,log_likelihood,model_id,numerical_convergence_status,observed_empirical_fwhm,optimizer_stability_status,parameter_status,reason,scan_id,scientific_status,start_count
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-fb62d31e5c3c1dbf,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-fede66c26a275769,not_estimated,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.87725081416394, ""b1"": -2.3656777565288736}",2.2270522055045847e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-059bd02c78268a2b,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.935995613269776, ""b1"": -1.6920238064237458}",2.461117328157473e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-0e6d00a831c04e8d,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -12.220791439747426, ""b1"": -3.2303371757093347}",1.9940112323530806e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-26c5588a4a75efc2,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.750046295394737, ""b1"": -2.4290704568803023}",2.0783047284936426e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-2f690557cfd20bec,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.57768258135922, ""b1"": -2.4943831024897998}",2.622049262778533e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-306a96179bd778b6,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -12.241504030726018, ""b1"": -3.0314038289515812}",1.8386562114638483e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-3f903a520f921d83,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -9.546412767098365, ""b1"": 0.5926004671563156}",1.0263154816562915e-05,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-43979cdff2eef525,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -12.279769681531329, ""b1"": -2.855944581913128}",1.9115822713563122e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-45d1daf515e218b6,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -12.183390632407722, ""b1"": -3.185406807992473}",2.0149495714610543e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-4ad1398a663b7933,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.189251246688672, ""b1"": -1.3039262212961147}",3.480354183160303e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-4eb3495e2e32dd73,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.014149320750917, ""b1"": -1.1407425664741409}",3.5640974591381173e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-51f6ed2eb7632349,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.434641890059847, ""b1"": -1.5607486198480018}",3.3442878290572113e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-68a1fdbd8955d9a4,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.615029550008646, ""b1"": -2.1305318770711663}",2.2931561893589977e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-6fded6b51e0642a8,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.976687766999621, ""b1"": -2.4631846583673105}",2.193992678467798e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-708cf4d83a29d78f,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.772819848667524, ""b1"": -2.748936096728156}",2.4650389162990346e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-7118d0dce593edea,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -7.953539532867913, ""b1"": -0.9851933912350347}",1.1351754858439031e-05,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-731f452fb62a55bd,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -12.048132562633919, ""b1"": -2.68812168480356}",1.9194338087102253e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-75faa4a614a8f130,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -8.167097926652632, ""b1"": -0.6732355464853564}",1.0953986060591923e-05,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-774f62fc1777bc6b,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.587686305916202, ""b1"": -2.518123892209104}",2.5906474752003476e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-77b71bd09c7eb4b4,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.741399062459456, ""b1"": -2.3092028756017458}",2.2105229219564585e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-8345a5938afc1084,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -9.727216289270787, ""b1"": 1.396760204827563}",9.875858431121339e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-8641a638f4880175,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -12.140478450678026, ""b1"": -2.6412627446096857}",2.005789563610405e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-89614c0503a95275,estimate_numerically_unresolved,16
20.340017599224666,CX-02,C01,1,valid,"{""b0"": -11.053050943621844, ""b1"": 1.0963114530620777}",0.0023005476144394798,-11991.208729518832,K1,warning,111.73545269423272,unresolved,estimated,,SCAN-02R-8ca6316615b8cbae,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -8.730334642947115, ""b1"": 0.003610227900708751}",1.0524824451070503e-05,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-8dcd5041a8a4e044,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -12.2819542208385, ""b1"": -2.995221864248219}",1.621118518857303e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-8e62e3b1b9deee81,estimate_numerically_unresolved,16
