assessment_type,complex_id,model_id,passes,promotion_status,reason,scan_id,start_count,status,supportive_scan_count,supportive_scan_ids
cross_scan_component_recurrence,CX-01,K2,,not_promoted,earlier_component_development_gate_failed,,,not_evaluated,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-059bd02c78268a2b,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-0e6d00a831c04e8d,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-26c5588a4a75efc2,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-2f690557cfd20bec,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-306a96179bd778b6,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-3f903a520f921d83,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-43979cdff2eef525,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-45d1daf515e218b6,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-4ad1398a663b7933,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-4eb3495e2e32dd73,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-51f6ed2eb7632349,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-68a1fdbd8955d9a4,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-6fded6b51e0642a8,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-708cf4d83a29d78f,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-7118d0dce593edea,16,unresolved,,
