complex_id,estimability_status,fit_status,material,overall_status,reason,scan_id,sensitivity_model,window_lower_anchors,window_point_count,window_upper_anchors
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-8dcd5041a8a4e044,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-8dcd5041a8a4e044,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-8e62e3b1b9deee81,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-8e62e3b1b9deee81,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-91de8f7a5ce6984b,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-91de8f7a5ce6984b,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-91f840c137c7a43c,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-91f840c137c7a43c,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-957a8834d758202b,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-957a8834d758202b,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-abcd8030795bc9cb,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-abcd8030795bc9cb,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-ae86f327e3ed5623,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-ae86f327e3ed5623,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-b704f6a14f738619,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-b704f6a14f738619,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-c5843105fb81b54c,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-c5843105fb81b54c,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-c7a73b4824a01210,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-c7a73b4824a01210,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-ebc55d8b20e3cec0,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-ebc55d8b20e3cec0,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-eea1fadd4abbd144,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-eea1fadd4abbd144,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-f36bb8e354cf21b7,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-f36bb8e354cf21b7,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-f380a5a0600b447a,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-f380a5a0600b447a,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-f56f915bc229d6aa,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-f56f915bc229d6aa,B2,,,
