boundary_index,previous_scan_record_id,next_scan_record_id,boundary_type,changed_fields,normalization_relevant,supporting_evidence,confidence
50,SCAN-02R-7bf9711c804eecbc,SCAN-02R-eb5b106ace121b92,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""sgl"",""previous"":""sgu""}},""next_acquisition_start_time"":""2023-08-31T15:16:31"",""previous_acquisition_start_time"":""2023-08-31T15:13:05"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
51,SCAN-02R-391364dde623200d,SCAN-02R-1d86949e1fdc12c8,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""qk"",""previous"":""sgl""}},""next_acquisition_start_time"":""2023-08-31T15:25:21"",""previous_acquisition_start_time"":""2023-08-31T15:20:24"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
52,SCAN-02R-1d86949e1fdc12c8,SCAN-02R-b30351ae2c4fc24c,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ql"",""previous"":""qk""}},""next_acquisition_start_time"":""2023-08-31T15:30:36"",""previous_acquisition_start_time"":""2023-08-31T15:25:21"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
53,SCAN-02R-c09396a290b0d6b2,SCAN-02R-0f8fb12fa9acc5a9,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""qk"",""previous"":""ql""}},""next_acquisition_start_time"":""2023-08-31T16:09:59"",""previous_acquisition_start_time"":""2023-08-31T15:42:59"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
54,SCAN-02R-118b7f0b82f35923,SCAN-02R-76804d90690fee01,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ql"",""previous"":""qk""}},""next_acquisition_start_time"":""2023-08-31T16:17:52"",""previous_acquisition_start_time"":""2023-08-31T16:10:40"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
55,SCAN-02R-76804d90690fee01,SCAN-02R-fb555611767fe647,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""qk"",""previous"":""ql""}},""next_acquisition_start_time"":""2023-08-31T16:40:02"",""previous_acquisition_start_time"":""2023-08-31T16:17:52"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
56,SCAN-02R-fb555611767fe647,SCAN-02R-f7776e64b8dc4ae4,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ql"",""previous"":""qk""}},""next_acquisition_start_time"":""2023-08-31T16:44:43"",""previous_acquisition_start_time"":""2023-08-31T16:40:02"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
57,SCAN-02R-f7776e64b8dc4ae4,SCAN-02R-05cdcdc49c83bec6,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s1"",""previous"":""ql""}},""next_acquisition_start_time"":""2023-08-31T16:54:16"",""previous_acquisition_start_time"":""2023-08-31T16:44:43"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
58,SCAN-02R-cfcdc3a373b26fb0,SCAN-02R-4cc04512e6886f13,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s2"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-08-31T17:03:34"",""previous_acquisition_start_time"":""2023-08-31T17:00:56"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
59,SCAN-02R-4cc04512e6886f13,SCAN-02R-eb6fd74d04998612,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s1"",""previous"":""s2""}},""next_acquisition_start_time"":""2023-08-31T18:24:07"",""previous_acquisition_start_time"":""2023-08-31T17:03:34"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
60,SCAN-02R-eb6fd74d04998612,SCAN-02R-ebcf02322ed12a94,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s2"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-08-31T18:26:34"",""previous_acquisition_start_time"":""2023-08-31T18:24:07"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
61,SCAN-02R-ebcf02322ed12a94,SCAN-02R-da644119c60690fc,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""sgl"",""previous"":""s2""}},""next_acquisition_start_time"":""2023-08-31T18:32:16"",""previous_acquisition_start_time"":""2023-08-31T18:26:34"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
62,SCAN-02R-920194e62af87181,SCAN-02R-f565bb6e9ffba8d0,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""sgu"",""previous"":""sgl""}},""next_acquisition_start_time"":""2023-08-31T18:35:01"",""previous_acquisition_start_time"":""2023-08-31T18:33:01"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
63,SCAN-02R-f565bb6e9ffba8d0,SCAN-02R-7044f49c95edc115,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""sgl"",""previous"":""sgu""}},""next_acquisition_start_time"":""2023-08-31T18:41:27"",""previous_acquisition_start_time"":""2023-08-31T18:35:01"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
64,SCAN-02R-7044f49c95edc115,SCAN-02R-113d971bbff5b0fe,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""sgu"",""previous"":""sgl""}},""next_acquisition_start_time"":""2023-08-31T18:43:24"",""previous_acquisition_start_time"":""2023-08-31T18:41:27"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
65,SCAN-02R-113d971bbff5b0fe,SCAN-02R-e1e2bf2dafefa081,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ql"",""previous"":""sgu""}},""next_acquisition_start_time"":""2023-08-31T19:01:00"",""previous_acquisition_start_time"":""2023-08-31T18:43:24"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
66,SCAN-02R-936cf3ec1b1f48e0,SCAN-02R-432159a75d80f2b3,acquisition_state_change,count_control_mode;scan_variable_raw,false,"{""changes"":{""count_control_mode"":{""next"":""monitor_controlled"",""previous"":""time_controlled""},""scan_variable_raw"":{""next"":""en"",""previous"":""ql""}},""next_acquisition_start_time"":""2023-08-31T21:32:58"",""previous_acquisition_start_time"":""2023-08-31T19:08:58"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
67,SCAN-02R-598c5cedd335b846,SCAN-02R-e56a9b34b0768e57,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""qk"",""previous"":""en""}},""next_acquisition_start_time"":""2023-09-02T11:45:33"",""previous_acquisition_start_time"":""2023-09-02T11:00:48"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
68,SCAN-02R-e56a9b34b0768e57,SCAN-02R-c3dcce6e5bc72678,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""en"",""previous"":""qk""}},""next_acquisition_start_time"":""2023-09-02T12:19:16"",""previous_acquisition_start_time"":""2023-09-02T11:45:33"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
69,SCAN-02R-c3dcce6e5bc72678,SCAN-02R-a0737ac6a3eb4604,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s1"",""previous"":""en""}},""next_acquisition_start_time"":""2023-09-02T13:05:22"",""previous_acquisition_start_time"":""2023-09-02T12:19:16"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
70,SCAN-02R-42c582e4eb747d10,SCAN-02R-183e2f7a146cbdf6,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ps_right"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-09-02T13:14:45"",""previous_acquisition_start_time"":""2023-09-02T13:08:13"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
71,SCAN-02R-183e2f7a146cbdf6,SCAN-02R-11f9a7978abc2be1,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ps_left"",""previous"":""ps_right""}},""next_acquisition_start_time"":""2023-09-02T13:17:22"",""previous_acquisition_start_time"":""2023-09-02T13:14:45"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
