boundary_index,previous_scan_record_id,next_scan_record_id,boundary_type,changed_fields,normalization_relevant,supporting_evidence,confidence
11,SCAN-02R-59701ee4cf5ede45,SCAN-02R-d7af0511d4c5b96e,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s2"",""previous"":""a2""}},""next_acquisition_start_time"":""2023-08-29T17:19:52"",""previous_acquisition_start_time"":""2023-08-29T17:09:28"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
12,SCAN-02R-8e9939a05c893131,SCAN-02R-a59dc960ac5aa7de,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""a1"",""previous"":""s2""}},""next_acquisition_start_time"":""2023-08-29T21:08:29"",""previous_acquisition_start_time"":""2023-08-29T18:26:45"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
13,SCAN-02R-4a9d7177d38df4e7,SCAN-02R-4fb9fc6716a3e65a,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""en"",""previous"":""a1""}},""next_acquisition_start_time"":""2023-08-29T21:25:07"",""previous_acquisition_start_time"":""2023-08-29T21:21:06"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
14,SCAN-02R-4fb9fc6716a3e65a,SCAN-02R-e5f864cf4587fc19,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ei"",""previous"":""en""}},""next_acquisition_start_time"":""2023-08-29T21:42:08"",""previous_acquisition_start_time"":""2023-08-29T21:25:07"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
15,SCAN-02R-8c953d28ca426172,SCAN-02R-93657997ed968c54,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s1"",""previous"":""ei""}},""next_acquisition_start_time"":""2023-08-30T15:40:20"",""previous_acquisition_start_time"":""2023-08-30T05:38:23"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
16,SCAN-02R-93657997ed968c54,SCAN-02R-8c948345fe20cada,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""qk"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-08-30T15:53:29"",""previous_acquisition_start_time"":""2023-08-30T15:40:20"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
17,SCAN-02R-8c948345fe20cada,SCAN-02R-d4d684343e0d7d6c,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""sgl"",""previous"":""qk""}},""next_acquisition_start_time"":""2023-08-30T15:58:10"",""previous_acquisition_start_time"":""2023-08-30T15:53:29"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
18,SCAN-02R-d4d684343e0d7d6c,SCAN-02R-35c1a2ccd5e9e62e,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""sgu"",""previous"":""sgl""}},""next_acquisition_start_time"":""2023-08-30T16:00:09"",""previous_acquisition_start_time"":""2023-08-30T15:58:10"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
19,SCAN-02R-35c1a2ccd5e9e62e,SCAN-02R-a37edad191409e00,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s1"",""previous"":""sgu""}},""next_acquisition_start_time"":""2023-08-30T16:10:31"",""previous_acquisition_start_time"":""2023-08-30T16:00:09"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
20,SCAN-02R-2161de9a5edbe1bf,SCAN-02R-5e9a406134424e15,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""sgl"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-08-30T16:54:26"",""previous_acquisition_start_time"":""2023-08-30T16:51:12"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
21,SCAN-02R-e99f0bd2152d59b1,SCAN-02R-84cb0b6150577fdc,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s1"",""previous"":""sgl""}},""next_acquisition_start_time"":""2023-08-30T17:06:33"",""previous_acquisition_start_time"":""2023-08-30T17:04:13"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
22,SCAN-02R-d24a90ed870ef8e6,SCAN-02R-72904b63e5e6e883,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""sgl"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-08-30T17:23:21"",""previous_acquisition_start_time"":""2023-08-30T17:21:46"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
23,SCAN-02R-72904b63e5e6e883,SCAN-02R-5b1259784f010264,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s1"",""previous"":""sgl""}},""next_acquisition_start_time"":""2023-08-30T17:32:59"",""previous_acquisition_start_time"":""2023-08-30T17:23:21"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
24,SCAN-02R-5b1259784f010264,SCAN-02R-42f2046fce901aec,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""sgu"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-08-30T17:34:37"",""previous_acquisition_start_time"":""2023-08-30T17:32:59"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
25,SCAN-02R-42f2046fce901aec,SCAN-02R-d5e00829a2a54fb6,acquisition_state_change,scan_variable_raw;UB_state_id,false,"{""changes"":{""UB_state_id"":{""next"":""UB-02R-1d710a6baa059bbb"",""previous"":""UB-02R-397acad65dd9e384""},""scan_variable_raw"":{""next"":""qk"",""previous"":""sgu""}},""next_acquisition_start_time"":""2023-08-30T17:41:56"",""previous_acquisition_start_time"":""2023-08-30T17:34:37"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
26,SCAN-02R-d5e00829a2a54fb6,SCAN-02R-4ecc00c5eac2e1b4,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ql"",""previous"":""qk""}},""next_acquisition_start_time"":""2023-08-30T18:01:12"",""previous_acquisition_start_time"":""2023-08-30T17:41:56"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
27,SCAN-02R-4ecc00c5eac2e1b4,SCAN-02R-c18c53ef408b1d89,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""qk"",""previous"":""ql""}},""next_acquisition_start_time"":""2023-08-30T18:11:02"",""previous_acquisition_start_time"":""2023-08-30T18:01:12"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
28,SCAN-02R-c18c53ef408b1d89,SCAN-02R-cb5dd7445a99bc3a,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ps_left"",""previous"":""qk""}},""next_acquisition_start_time"":""2023-08-30T21:40:10"",""previous_acquisition_start_time"":""2023-08-30T18:11:02"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
29,SCAN-02R-cb5dd7445a99bc3a,SCAN-02R-e731681e22986e49,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ps_right"",""previous"":""ps_left""}},""next_acquisition_start_time"":""2023-08-30T21:48:10"",""previous_acquisition_start_time"":""2023-08-30T21:40:10"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
30,SCAN-02R-e731681e22986e49,SCAN-02R-e4b1e60e94f6a5b7,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ps_top"",""previous"":""ps_right""}},""next_acquisition_start_time"":""2023-08-30T21:50:02"",""previous_acquisition_start_time"":""2023-08-30T21:48:10"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
31,SCAN-02R-e4b1e60e94f6a5b7,SCAN-02R-03ed38ed92271694,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ps_bottom"",""previous"":""ps_top""}},""next_acquisition_start_time"":""2023-08-30T21:53:51"",""previous_acquisition_start_time"":""2023-08-30T21:50:02"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
32,SCAN-02R-03ed38ed92271694,SCAN-02R-e3abafe2717105f3,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""pa_left"",""previous"":""ps_bottom""}},""next_acquisition_start_time"":""2023-08-30T21:57:47"",""previous_acquisition_start_time"":""2023-08-30T21:53:51"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
33,SCAN-02R-e3abafe2717105f3,SCAN-02R-31bc005deb88d4e2,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""pa_right"",""previous"":""pa_left""}},""next_acquisition_start_time"":""2023-08-30T21:59:40"",""previous_acquisition_start_time"":""2023-08-30T21:57:47"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
34,SCAN-02R-31bc005deb88d4e2,SCAN-02R-22608464dd5aff80,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""pa_top"",""previous"":""pa_right""}},""next_acquisition_start_time"":""2023-08-30T22:01:16"",""previous_acquisition_start_time"":""2023-08-30T21:59:40"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
35,SCAN-02R-22608464dd5aff80,SCAN-02R-74e2c66cfb23844c,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""pa_bottom"",""previous"":""pa_top""}},""next_acquisition_start_time"":""2023-08-30T22:08:24"",""previous_acquisition_start_time"":""2023-08-30T22:01:16"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
36,SCAN-02R-74e2c66cfb23844c,SCAN-02R-d453265e40ec7542,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""qk"",""previous"":""pa_bottom""}},""next_acquisition_start_time"":""2023-08-30T22:19:49"",""previous_acquisition_start_time"":""2023-08-30T22:08:24"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
